GENE_ID	BP_SIMILARITY	CC_SIMILARITY	MF_SIMILARITY	NB_ISOFORM
ENSG00000292344	1.000	1.000	1.000	9
ENSG00000292327	NA	1.000	1.000	2
ENSG00000292354	1.000	1.000	1.000	4
ENSG00000292363	1.000	1.000	1.000	3
ENSG00000292357	1.000	0.989	1.000	12
ENSG00000292332	1.000	1.000	1.000	3
ENSG00000292339	1.000	1.000	1.000	3
ENSG00000292333	1.000	1.000	1.000	2
ENSG00000292343	1.000	1.000	1.000	3
ENSG00000292336	0.928	NA	0.990	4
ENSG00000292338	1.000	1.000	1.000	4
ENSG00000292345	1.000	1.000	1.000	5
ENSG00000292348	1.000	1.000	1.000	9
ENSG00000129824	1.000	1.000	1.000	2
ENSG00000067646	1.000	1.000	1.000	5
ENSG00000176679	1.000	1.000	1.000	2
ENSG00000099715	1.000	1.000	1.000	8
ENSG00000168757	1.000	1.000	1.000	3
ENSG00000099721	1.000	1.000	1.000	2
ENSG00000092377	1.000	1.000	1.000	4
ENSG00000233803	1.000	1.000	1.000	3
ENSG00000229549	1.000	1.000	1.000	3
ENSG00000228927	1.000	1.000	1.000	3
ENSG00000258992	1.000	1.000	1.000	2
ENSG00000236424	1.000	1.000	1.000	2
ENSG00000114374	1.000	1.000	1.000	3
ENSG00000067048	1.000	1.000	1.000	4
ENSG00000183878	0.959	1.000	0.980	19
ENSG00000165246	0.995	1.000	1.000	8
ENSG00000172468	1.000	1.000	1.000	4
ENSG00000169953	1.000	1.000	1.000	3
ENSG00000012817	1.000	1.000	1.000	6
ENSG00000198692	1.000	1.000	1.000	2
ENSG00000242875	1.000	0.992	1.000	2
ENSG00000234414	1.000	0.992	1.000	2
ENSG00000244395	1.000	0.992	1.000	3
ENSG00000242389	1.000	0.992	1.000	3
ENSG00000169807	NA	NA	NA	2
ENSG00000169800	1.000	1.000	1.000	2
ENSG00000169789	NA	NA	NA	2
ENSG00000183753	NA	NA	NA	3
ENSG00000188120	NA	NA	NA	3
ENSG00000205944	1.000	1.000	1.000	3
ENSG00000172352	1.000	1.000	1.000	2
ENSG00000183795	NA	NA	NA	3
ENSG00000187191	1.000	1.000	1.000	3
ENSG00000205916	0.414	0.957	0.919	8
ENSG00000185894	NA	NA	NA	3
ENSG00000172288	1.000	1.000	1.000	2
ENSG00000292366	0.961	0.924	1.000	4
ENSG00000292373	1.000	1.000	1.000	2
ENSG00000182378	1.000	1.000	1.000	9
ENSG00000167393	NA	1.000	1.000	2
ENSG00000185960	1.000	1.000	1.000	4
ENSG00000205755	1.000	1.000	1.000	3
ENSG00000198223	1.000	0.989	1.000	12
ENSG00000185291	1.000	1.000	1.000	3
ENSG00000169093	1.000	1.000	1.000	3
ENSG00000182162	1.000	1.000	1.000	2
ENSG00000197976	1.000	1.000	1.000	3
ENSG00000196433	0.928	NA	0.990	4
ENSG00000169084	1.000	1.000	1.000	4
ENSG00000214717	1.000	1.000	1.000	5
ENSG00000002586	1.000	1.000	1.000	9
ENSG00000124343	1.000	1.000	NA	4
ENSG00000056998	1.000	1.000	1.000	5
ENSG00000006756	NA	1.000	1.000	3
ENSG00000157399	0.895	1.000	0.951	20
ENSG00000062096	1.000	1.000	1.000	2
ENSG00000146938	1.000	1.000	1.000	7
ENSG00000169059	1.000	1.000	1.000	2
ENSG00000130021	1.000	1.000	1.000	5
ENSG00000101846	1.000	1.000	1.000	5
ENSG00000182583	1.000	1.000	1.000	5
ENSG00000006757	1.000	1.000	1.000	4
ENSG00000183304	1.000	1.000	NA	2
ENSG00000177138	1.000	1.000	NA	5
ENSG00000101849	1.000	1.000	1.000	11
ENSG00000101850	1.000	1.000	1.000	3
ENSG00000146950	1.000	1.000	1.000	3
ENSG00000073464	1.000	1.000	1.000	7
ENSG00000101871	0.644	0.917	0.776	16
ENSG00000004961	1.000	1.000	1.000	3
ENSG00000047648	1.000	1.000	1.000	7
ENSG00000125363	0.856	0.956	1.000	3
ENSG00000005302	1.000	0.995	1.000	38
ENSG00000169933	1.000	1.000	1.000	8
ENSG00000101911	1.000	0.984	1.000	5
ENSG00000101916	1.000	1.000	1.000	2
ENSG00000205542	NA	NA	NA	4
ENSG00000187268	1.000	0.992	1.000	4
ENSG00000198759	1.000	1.000	1.000	2
ENSG00000176896	1.000	1.000	1.000	9
ENSG00000123595	1.000	1.000	1.000	3
ENSG00000196459	1.000	1.000	1.000	7
ENSG00000046651	1.000	0.991	1.000	13
ENSG00000046653	0.937	1.000	1.000	9
ENSG00000046647	1.000	1.000	1.000	5
ENSG00000101958	1.000	1.000	1.000	3
ENSG00000181544	1.000	1.000	1.000	16
ENSG00000130150	1.000	1.000	1.000	4
ENSG00000102048	1.000	1.000	1.000	5
ENSG00000165192	1.000	1.000	NA	4
